Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C)
7,1888,1890,59831.76551326854,60517.204771050165,,,3955.6320124811455,842.442791990231,0.00944465339856955,2022-12-27,2022-12-29,2 days,,60235.1835883019,60256.87936130215
7,1900,1922,61558.03159258394,59507.74191754059,,,-15199.488139874324,847.4604145708718,-0.03527330865490281,2023-01-12,2023-02-13,32 days,,60328.2381900215,61774.98142055432
7,1936,1958,61385.19087922046,64977.83590490849,,,24263.973992327286,884.5411874889028,0.05646772371733829,2023-03-03,2023-04-04,32 days,,60350.09440782979,63106.91313974005
7,1959,1986,64960.261228826595,68359.70965948715,,,22862.899218405717,933.2397962181963,0.05027886892675964,2023-04-05,2023-05-12,37 days,,63240.984523801875,67097.30979489308
7,1989,2006,68494.42976375016,68549.99095656055,,,-570.3825953694457,959.310945042175,-0.0011896329116246325,2023-05-17,2023-06-09,23 days,,67309.21487227819,70667.71983802192
7,2034,2048,66665.14504860059,66705.89108739585,,,-648.3749813851575,933.5972529519752,-0.0013894066723053769,2023-07-19,2023-08-08,20 days,,65307.72258097285,67151.92967971417
7,2071,2087,67957.87665570056,64873.57095276086,,,-22519.960053837094,929.82013325923,-0.04734016583312854,2023-09-08,2023-10-02,24 days,,65855.8611804957,67458.62404080726
7,2101,2105,65258.387186633896,66085.01545672526,,,4866.994072136043,919.4038185035141,0.01065433728019583,2023-10-20,2023-10-26,6 days,,65912.97714875248,65655.17194558537
7,2113,2114,65226.762391973796,66159.1622268487,,,5607.09737179255,919.7014723317575,0.01228044871279168,2023-11-07,2023-11-08,1 days,,65802.28794192028,65757.52627128123
7,2115,2116,65165.55909970364,65510.3615994773,,,1498.8860535213357,914.7314448942666,0.003285885704546234,2023-11-09,2023-11-10,1 days,,65695.4094887011,65597.66470553279
7,2117,2118,64425.47647520453,62633.47417158654,,,-13433.42877985348,889.4126545275375,-0.029787304017896907,2023-11-13,2023-11-14,1 days,,65500.35245184138,65368.76592555803
6,2129,2148,66377.48719989268,66600.81225228269,,,542.0805176269839,797.8697967130522,0.0013611053498569642,2023-11-29,2023-12-26,27 days,,64893.793415747794,67284.87952259582
6,2166,2192,67468.03222590392,68492.54547174819,,,5331.316008879693,815.7634661859126,0.013169980490485777,2024-01-19,2024-02-26,38 days,,66106.98980725397,67814.94233425194
6,2202,2236,69539.47803535085,70386.84287795927,,,4244.631130170605,839.5579254798608,0.010173192863706371,2024-03-11,2024-04-26,46 days,,67940.09686215445,70803.99513565858
6,2246,2259,72056.70853782726,69285.36862647577,,,-17476.091931094757,848.0524629858182,-0.04042207932640635,2024-05-10,2024-05-29,19 days,,70955.74365226037,71278.86915590588
6,2270,2271,70807.97419618182,70865.87780987822,,,-502.6214298579682,850.0431120363603,-0.0011830622081852862,2024-06-13,2024-06-14,1 days,,70860.48076254319,70745.00367217639
6,2272,2274,70111.82808572926,68857.0203918263,,,-8362.65925428307,833.8130908653334,-0.019879335348042412,2024-06-17,2024-06-19,2 days,,70654.04075392158,70488.62544915311
6,2293,2351,70451.29628686052,85676.12520403843,,,90412.20897412203,936.7645289453937,0.2138882077390162,2024-07-16,2024-10-04,80 days,,68351.95683925465,84561.08666510702
6,2355,2363,86828.3902202694,81675.82241223338,,,-31926.432124011153,1011.0252757950166,-0.06128262895545844,2024-10-10,2024-10-22,12 days,,85092.12096220574,84665.64746938687
6,2379,2385,82516.46251504701,80530.27652955058,,,-12895.396347246153,978.2804342675856,-0.02604610836472915,2024-11-13,2024-11-21,8 days,,82258.02025676056,81766.33206704541
6,2412,2453,75994.62015930793,76926.93378206999,,,4676.3524129240695,917.5293236482676,0.010255884787460333,2024-12-30,2025-02-25,57 days,,74857.75825425136,79311.2100258589
6,2463,2496,80037.95037753758,86085.25184631752,,,35287.06959933654,996.7392133431307,0.07347987097139133,2025-03-11,2025-04-25,45 days,,79277.497536266,86533.10564249923
6,2503,2521,87803.34892085289,89679.75344816534,,,10193.528549660592,1064.8986142141093,0.01934916430664683,2025-05-06,2025-05-30,24 days,,86940.23801878076,88350.38566888434
5,2526,2544,92414.05730109687,93385.5215202309,,,3928.3232015635563,928.9978941066388,0.008501570683699292,2025-06-06,2025-07-02,26 days,,89217.97696670813,93293.80843170747
5,2551,2559,92509.93884003891,93052.1314816731,,,1783.1528565623823,927.81035160856,0.0038550514224114252,2025-07-11,2025-07-23,12 days,,93324.99304771525,93100.83609838568
5,2560,2561,91463.40929740822,91874.11656520262,,,1136.84870965899,916.6876293130542,0.002485909323502953,2025-07-24,2025-07-25,1 days,,93052.45567900836,93073.39241407553
5,2579,2598,95862.28298289687,97223.39088241976,,,5840.111128287862,965.4283693265832,0.01218437730995799,2025-08-20,2025-09-16,27 days,,91101.988883661,97362.6105572536
